filename,eta,U,free_energy,kind,n_torons,separation,split
double_eta33_U2p50_sep30.png,33,2.5,4.9298812968271075e-14,double,2,30.0,train
double_eta38_U2p00_sep55.png,38,2.0,4.972885511620153e-14,double,2,55.0,train
double_eta36_U3p00_sep65.png,36,3.0,-6.600313937346596e-16,double,2,65.0,train
double_eta40_U1p50_sep55.png,40,1.5,6.272819233655583e-14,double,2,55.0,train
double_eta39_U3p50_sep70.png,39,3.5,-5.4332632600217265e-14,double,2,70.0,train
double_eta39_U1p00_sep35.png,39,1.0,8.259494980707409e-14,double,2,35.0,train
double_eta40_U0p50_sep30.png,40,0.5,8.818068833909308e-14,double,2,30.0,train
double_eta36_U2p00_sep60.png,36,2.0,6.03678711028266e-14,double,2,60.0,train
double_eta39_U1p50_sep40.png,39,1.5,6.660123417186743e-14,double,2,40.0,train
double_eta35_U1p00_sep75.png,35,1.0,1.0388332627518545e-13,double,2,75.0,train
double_eta38_U3p00_sep45.png,38,3.0,-1.3077004635233048e-14,double,2,45.0,train
double_eta39_U1p00_sep30.png,39,1.0,8.259810560888746e-14,double,2,30.0,train
double_eta35_U3p50_sep65.png,35,3.5,-3.38216065732134e-14,double,2,65.0,train
double_eta37_U2p50_sep65.png,37,2.5,2.7366515002351857e-14,double,2,65.0,train
double_eta38_U1p00_sep50.png,38,1.0,8.743263920175117e-14,double,2,50.0,train
double_eta34_U1p50_sep40.png,34,1.5,9.396440011916952e-14,double,2,40.0,train
double_eta39_U3p50_sep55.png,39,3.5,-5.5777955270778045e-14,double,2,55.0,train
double_eta40_U1p50_sep40.png,40,1.5,6.231216834451719e-14,double,2,40.0,train
double_eta35_U3p00_sep55.png,35,3.0,4.42839036002949e-15,double,2,55.0,train
double_eta30_U0p00_sep65.png,30,0.0,1.5542806004587823e-13,double,2,65.0,train
double_eta32_U2p50_sep30.png,32,2.5,5.695624082235498e-14,double,2,30.0,train
double_eta31_U3p50_sep55.png,31,3.5,-5.633157305472341e-15,double,2,55.0,train
double_eta34_U3p00_sep40.png,34,3.0,8.913485251942616e-15,double,2,40.0,train
double_eta31_U1p00_sep35.png,31,1.0,1.3304127300138345e-13,double,2,35.0,train
double_eta40_U1p50_sep70.png,40,1.5,6.296214744083647e-14,double,2,70.0,train
double_eta35_U1p00_sep70.png,35,1.0,1.0390237145903646e-13,double,2,70.0,train
double_eta39_U0p00_sep30.png,39,0.0,9.582688073265882e-14,double,2,30.0,train
double_eta34_U2p00_sep45.png,34,2.0,7.194634603854449e-14,double,2,45.0,train
double_eta33_U2p50_sep60.png,33,2.5,5.187917298244266e-14,double,2,60.0,train
double_eta32_U2p50_sep70.png,32,2.5,5.98738212025127e-14,double,2,70.0,train
double_eta37_U2p50_sep60.png,37,2.5,2.7176438962329173e-14,double,2,60.0,train
double_eta30_U0p00_sep40.png,30,0.0,1.554559189549073e-13,double,2,40.0,train
double_eta38_U3p50_sep65.png,38,3.5,-5.0042573953866365e-14,double,2,65.0,train
double_eta36_U0p00_sep40.png,36,0.0,1.1081189223649463e-13,double,2,40.0,train
double_eta32_U3p50_sep55.png,32,3.5,-1.399534309194756e-14,double,2,55.0,train
double_eta34_U3p00_sep35.png,34,3.0,8.149770220838921e-15,double,2,35.0,train
double_eta31_U3p50_sep70.png,31,3.5,-4.2103860558388645e-15,double,2,70.0,train
double_eta36_U1p50_sep60.png,36,1.5,8.220189189929783e-14,double,2,60.0,train
double_eta40_U0p50_sep75.png,40,0.5,8.81860232063851e-14,double,2,75.0,train
double_eta36_U3p50_sep50.png,36,3.5,-4.1597258415586335e-14,double,2,50.0,train
double_eta32_U3p00_sep65.png,32,3.0,2.6226967425037728e-14,double,2,65.0,train
double_eta34_U3p50_sep45.png,34,3.5,-3.0307551011341136e-14,double,2,45.0,train
double_eta35_U0p50_sep60.png,35,0.5,1.1343116209243027e-13,double,2,60.0,train
double_eta36_U1p50_sep50.png,36,1.5,8.196741742949904e-14,double,2,50.0,train
double_eta40_U0p00_sep35.png,40,0.0,9.146440261514333e-14,double,2,35.0,train
double_eta34_U1p00_sep40.png,34,1.0,1.1003503583516827e-13,double,2,40.0,train
double_eta38_U3p00_sep50.png,38,3.0,-1.2399983549449256e-14,double,2,50.0,train
double_eta32_U2p50_sep40.png,32,2.5,5.79321274009506e-14,double,2,40.0,train
double_eta35_U1p50_sep45.png,35,1.5,8.768646710181087e-14,double,2,45.0,train
double_eta30_U3p50_sep75.png,30,3.5,5.085818725279842e-15,double,2,75.0,train
double_eta31_U3p00_sep70.png,31,3.0,3.483187782945258e-14,double,2,70.0,train
double_eta35_U0p50_sep40.png,35,0.5,1.1337713174294936e-13,double,2,40.0,train
double_eta33_U0p50_sep30.png,33,0.5,1.268352442466141e-13,double,2,30.0,train
double_eta32_U3p50_sep35.png,32,3.5,-1.7767797756636955e-14,double,2,35.0,train
double_eta39_U2p50_sep50.png,39,2.5,1.685914569788438e-14,double,2,50.0,train
double_eta33_U0p50_sep75.png,33,0.5,1.2683638044096988e-13,double,2,75.0,train
double_eta34_U2p00_sep55.png,34,2.0,7.245824305165521e-14,double,2,55.0,train
double_eta33_U0p50_sep50.png,33,0.5,1.2682116231729196e-13,double,2,50.0,train
double_eta31_U2p50_sep45.png,31,2.5,6.678642414085089e-14,double,2,45.0,train
double_eta35_U2p00_sep65.png,35,2.0,6.636501046370742e-14,double,2,65.0,train
double_eta32_U0p00_sep55.png,32,0.0,1.3775179175808418e-13,double,2,55.0,train
double_eta36_U2p50_sep45.png,36,2.5,3.144036245749384e-14,double,2,45.0,train
double_eta30_U2p50_sep55.png,30,2.5,7.686416422957075e-14,double,2,55.0,train
double_eta38_U3p50_sep55.png,38,3.5,-5.1173899053068664e-14,double,2,55.0,train
double_eta38_U0p50_sep75.png,38,0.5,9.710243652255531e-14,double,2,75.0,train
double_eta36_U2p50_sep55.png,36,2.5,3.226460392385904e-14,double,2,55.0,train
double_eta34_U0p50_sep45.png,34,0.5,1.1978137400052402e-13,double,2,45.0,train
double_eta36_U3p50_sep70.png,36,3.5,-3.936332349671886e-14,double,2,70.0,train
double_eta32_U2p00_sep50.png,32,2.0,8.690440461076416e-14,double,2,50.0,train
double_eta37_U2p00_sep35.png,37,2.0,5.363099505173789e-14,double,2,35.0,train
double_eta35_U2p50_sep30.png,35,2.5,3.589466369284722e-14,double,2,30.0,train
double_eta33_U1p00_sep55.png,33,1.0,1.17204158773391e-13,double,2,55.0,train
double_eta34_U1p50_sep30.png,34,1.5,9.369084476780246e-14,double,2,30.0,train
double_eta35_U2p00_sep50.png,35,2.0,6.582914791063184e-14,double,2,50.0,train
double_eta30_U3p00_sep30.png,30,3.0,3.96791766923727e-14,double,2,30.0,train
double_eta32_U1p50_sep75.png,32,1.5,1.0927520241553106e-13,double,2,75.0,train
double_eta40_U0p00_sep45.png,40,0.0,9.144274325519979e-14,double,2,45.0,train
double_eta40_U3p50_sep65.png,40,3.5,-5.891180451182425e-14,double,2,65.0,train
double_eta35_U2p00_sep30.png,35,2.0,6.468939773854371e-14,double,2,30.0,train
double_eta33_U1p00_sep30.png,33,1.0,1.1696721067578206e-13,double,2,30.0,train
double_eta37_U2p50_sep70.png,37,2.5,2.7514298177294832e-14,double,2,70.0,train
double_eta34_U1p50_sep75.png,34,1.5,9.460620086655554e-14,double,2,75.0,train
double_eta33_U2p00_sep30.png,33,2.0,7.810396285670207e-14,double,2,30.0,train
double_eta32_U0p50_sep40.png,32,0.5,1.3445624961821416e-13,double,2,40.0,train
double_eta35_U1p50_sep50.png,35,1.5,8.785883777341946e-14,double,2,50.0,train
double_eta34_U2p00_sep35.png,34,2.0,7.135658218224591e-14,double,2,35.0,train
double_eta33_U3p50_sep75.png,33,3.5,-2.0089009024070293e-14,double,2,75.0,train
double_eta39_U3p50_sep35.png,39,3.5,-5.958269728769344e-14,double,2,35.0,train
double_eta31_U0p50_sep30.png,31,0.5,1.4291397928936397e-13,double,2,30.0,train
double_eta40_U1p00_sep50.png,40,1.0,7.851532864685379e-14,double,2,50.0,train
double_eta32_U1p00_sep35.png,32,1.0,1.246265736555911e-13,double,2,35.0,train
double_eta39_U3p00_sep55.png,39,3.0,-1.6463447260639874e-14,double,2,55.0,train
double_eta30_U3p00_sep75.png,30,3.0,4.4116661682836214e-14,double,2,75.0,train
double_eta31_U2p50_sep35.png,31,2.5,6.582510143596784e-14,double,2,35.0,train
double_eta39_U0p50_sep40.png,39,0.5,9.243105446213379e-14,double,2,40.0,train
double_eta35_U2p50_sep60.png,35,2.5,3.8478984447336763e-14,double,2,60.0,train
double_eta31_U2p50_sep55.png,31,2.5,6.76091961727037e-14,double,2,55.0,train
double_eta32_U0p00_sep50.png,32,0.0,1.3777458273670745e-13,double,2,50.0,train
double_eta30_U1p00_sep70.png,30,1.0,1.4266602312264518e-13,double,2,70.0,train
double_eta40_U1p50_sep75.png,40,1.5,6.294735286278287e-14,double,2,75.0,train
double_eta32_U1p50_sep45.png,32,1.5,1.087679716885979e-13,double,2,45.0,train
double_eta39_U3p00_sep45.png,39,3.0,-1.769432452517977e-14,double,2,45.0,train
double_eta36_U0p00_sep55.png,36,0.0,1.1078455976153936e-13,double,2,55.0,train
double_eta34_U2p00_sep70.png,34,2.0,7.287622916063878e-14,double,2,70.0,train
double_eta31_U3p00_sep30.png,31,3.0,3.043567382119424e-14,double,2,30.0,train
double_eta32_U0p50_sep45.png,32,0.5,1.3444652389374767e-13,double,2,45.0,train
double_eta30_U0p00_sep60.png,30,0.0,1.5545080447892126e-13,double,2,60.0,train
double_eta37_U0p00_sep70.png,37,0.0,1.0538435614006012e-13,double,2,70.0,train
double_eta34_U2p00_sep30.png,34,2.0,7.110289654993646e-14,double,2,30.0,train
double_eta30_U3p50_sep45.png,30,3.5,1.8529276255781297e-15,double,2,45.0,train
double_eta37_U2p00_sep55.png,37,2.0,5.473297756299292e-14,double,2,55.0,train
double_eta40_U1p00_sep30.png,40,1.0,7.8308698239127e-14,double,2,30.0,train
double_eta38_U0p50_sep55.png,38,0.5,9.707924619595897e-14,double,2,55.0,train
double_eta31_U3p00_sep55.png,31,3.0,3.3833855653805835e-14,double,2,55.0,train
double_eta32_U3p50_sep50.png,32,3.5,-1.4783785420133972e-14,double,2,50.0,train
double_eta32_U3p00_sep30.png,32,3.0,2.204213477697539e-14,double,2,30.0,train
double_eta34_U1p50_sep65.png,34,1.5,9.455605163377104e-14,double,2,65.0,train
double_eta34_U2p50_sep55.png,34,2.5,4.455622468568676e-14,double,2,55.0,train
double_eta31_U2p50_sep40.png,31,2.5,6.633695881307447e-14,double,2,40.0,train
double_eta35_U1p50_sep75.png,35,1.5,8.819062502507238e-14,double,2,75.0,train
double_eta33_U3p50_sep35.png,33,3.5,-2.5391676929486842e-14,double,2,35.0,train
double_eta36_U0p50_sep55.png,36,0.5,1.0750679458048981e-13,double,2,55.0,train
double_eta30_U2p00_sep35.png,30,2.0,1.0369623772197284e-13,double,2,35.0,train
double_eta36_U2p50_sep70.png,36,2.5,3.293287880777273e-14,double,2,70.0,train
double_eta31_U1p00_sep70.png,31,1.0,1.3339963656407854e-13,double,2,70.0,train
double_eta35_U0p00_sep55.png,35,0.0,1.166746908177554e-13,double,2,55.0,train
double_eta30_U2p50_sep60.png,30,2.5,7.719252395518393e-14,double,2,60.0,train
double_eta33_U3p00_sep75.png,33,3.0,1.885316679735603e-14,double,2,75.0,train
double_eta34_U0p50_sep50.png,34,0.5,1.1981974600044378e-13,double,2,50.0,train
double_eta35_U3p50_sep70.png,35,3.5,-3.350934982420471e-14,double,2,70.0,train
double_eta30_U1p00_sep50.png,30,1.0,1.4251483569456523e-13,double,2,50.0,train
double_eta34_U0p50_sep70.png,34,0.5,1.1985665483392338e-13,double,2,70.0,train
double_eta40_U2p50_sep55.png,40,2.5,1.2935990944725162e-14,double,2,55.0,train
double_eta39_U1p50_sep65.png,39,1.5,6.719045952465164e-14,double,2,65.0,train
double_eta30_U2p50_sep35.png,30,2.5,7.508167807677787e-14,double,2,35.0,train
double_eta37_U0p50_sep70.png,37,0.5,1.02128776657868e-13,double,2,70.0,train
